Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-24 07:46:46.870,86237.00,1007.18,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85962.00,1003.95,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86256.00,1006.75,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86005.00,1003.96,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87363.00,1019.66,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87339.00,1018.94,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86312.00,1006.87,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85279.00,995.18,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85763.00,1001.58,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85885.00,1002.55,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86171.00,1005.13,0.20,11.94,7.00,0.09,0.00,12.57
2025-03-24 07:46:46.870,86086.00,1004.81,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85278.00,995.37,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,84162.00,983.79,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85491.00,998.12,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86255.00,1006.22,0.20,11.95,2.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87979.00,1027.87,0.20,11.96,3.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,88399.00,1031.36,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88107.00,1027.93,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87594.00,1022.32,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86640.00,1011.97,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85836.00,1002.64,0.21,11.96,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,85956.00,1004.19,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85116.00,993.39,0.20,11.95,0.00,0.00,0.00,0.00
